"","AGE","EDU","GENDER","SEXUAL_ORIENTATION","RELATIONSHIP","SOI_1","SOI_2","SOI_3","SOI_4","SOI_5","SOI_6","SOI_7","SOI_8","SOI_9"
"172","25",3,"M","1",0,6,4,6,9,9,1,9,8,7
"173","40",4,"F","0",1,2,2,3,9,7,1,2,2,2
"174","23",3,"F","0",1,2,1,1,7,6,4,4,2,1
"175","29",3,"F","0",1,1,3,3,6,1,6,2,2,1
"176","26",2,"F","0",1,2,4,6,9,8,2,4,4,2
"177","38",4,"F","0",1,3,8,6,9,9,2,6,6,3
"178","24",2,"F","0",0,4,3,7,9,7,1,7,2,2
"179","29",4,"F","0",1,2,3,7,8,9,2,6,4,5
"180","24",4,"M","0",1,2,2,1,5,7,3,1,1,1
"181","24",3,"M","0",0,1,1,1,9,7,3,6,2,2
"182","31",4,"F","0",1,3,2,2,5,5,3,3,3,6
"183","34",2,"F","0",0,2,2,1,7,3,7,2,2,2
"184","30",4,"F","0",1,2,2,3,9,5,2,3,1,2
"185","59",4,NA,"1",1,2,2,1,5,1,8,2,2,2
"186","38",3,"F","0",0,2,2,2,7,4,6,3,2,2
"187","23",2,"F","0",1,2,2,1,1,1,9,1,1,1
"188","29",2,"F","0",1,2,2,1,9,5,2,2,1,2
"189","26",3,"F","0",0,2,3,7,7,5,3,4,4,4
"190","37",2,"F","0",1,2,2,1,9,6,1,4,2,2
"191","23",2,"M","1",0,2,1,1,8,7,3,6,2,2
"192","27",3,"F","0",0,2,2,1,8,5,5,4,4,2
"193","29",4,"F","0",1,2,1,2,7,1,3,6,2,2
"194","25",3,"F","1",0,2,2,6,9,7,3,5,4,2
"195","46",4,"F","0",1,2,9,7,8,8,4,3,4,4
"196","34",2,"F","0",1,2,1,4,9,6,2,9,8,5
"197","28",3,"F","0",1,2,5,5,8,2,8,2,1,2
"198","29",4,"F","0",1,2,3,2,7,3,2,5,3,3
"199","38",4,"F","0",1,2,1,1,5,1,2,2,2,2
"200","20",3,"M","0",1,2,1,1,3,9,1,2,1,1
"201","37",3,"F","0",1,2,1,2,9,9,1,2,2,1
"202","45",4,"F","0",0,2,2,4,7,4,3,3,2,2
"203","37",4,"F","0",0,2,2,1,3,1,9,2,2,1
"204","27",3,"F","0",1,2,1,2,9,2,2,2,1,1
"205","36",2,"F","0",1,1,2,1,5,1,1,1,1,2
"206","28",4,"F","0",0,2,1,1,5,2,6,3,2,3
"207","32",4,"F","0",1,2,1,1,5,2,8,6,2,2
"208","33",3,"F","1",1,2,2,4,6,4,4,4,2,4
"209","44",4,"F","0",1,2,2,4,7,5,8,2,3,2
"210","30",3,"F","0",1,2,6,8,9,7,1,7,6,5
"211","24",3,"F","0",1,2,2,2,6,2,7,3,2,2
"212","43",4,"F","0",1,3,8,5,9,7,6,3,7,7
"213","23",2,"F","1",1,3,8,4,9,9,1,5,8,4
"214","26",3,"F","0",1,1,2,1,7,1,8,2,1,3
"215","22",3,"F","0",1,2,1,2,7,1,5,2,1,1
"216","28",2,"F","0",1,2,2,2,3,1,9,3,9,4
"217","3q",3,"F","0",1,2,2,2,8,5,3,2,2,2
"218","25",2,"F","0",1,2,1,1,7,8,2,5,3,4
"219","25",4,"F","0",1,2,1,1,6,3,6,4,3,2
"220","24",3,"M","1",0,3,1,1,4,3,7,5,7,6
"221","35",4,"F","0",1,2,3,4,6,4,4,2,2,1
"222","27",4,"F","0",1,2,2,4,6,4,8,6,8,2
"223","42",3,"F","0",1,2,2,2,9,2,1,2,2,2
